case|value
row-0560|5600
row-0561|5610
row-0562|5620
row-0563|5630
row-0564|5640
row-0565|5650
row-0566|5660
row-0567|5670
row-0568|5680
row-0569|5690
row-0570|5700
row-0571|5710
row-0572|5720
row-0573|5730
row-0574|5740
row-0575|5750
row-0576|5760
row-0577|5770
row-0578|5780
row-0579|5790
row-0580|5800
row-0581|5810
row-0582|5820
row-0583|5830
row-0584|5840
row-0585|5850
row-0586|5860
row-0587|5870
row-0588|5880
row-0589|5890
row-0590|5900
row-0591|5910
row-0592|5920
row-0593|5930
row-0594|5940
row-0595|5950
row-0596|5960
row-0597|5970
row-0598|5980
row-0599|5990
row-0600|6000
row-0601|6010
row-0602|6020
row-0603|6030
row-0604|6040
row-0605|6050
row-0606|6060
row-0607|6070
row-0608|6080
row-0609|6090
row-0610|6100
row-0611|6110
row-0612|6120
row-0613|6130
row-0614|6140
row-0615|6150
row-0616|6160
row-0617|6170
row-0618|6180
row-0619|6190
row-0620|6200
row-0621|6210
row-0622|6220
row-0623|6230
row-0624|6240
row-0625|6250
row-0626|6260
row-0627|6270
row-0628|6280
row-0629|6290
row-0630|6300
row-0631|6310
row-0632|6320
row-0633|6330
row-0634|6340
row-0635|6350
row-0636|6360
row-0637|6370
row-0638|6380
row-0639|6390
row-0640|6400
row-0641|6410
row-0642|6420
row-0643|6430
row-0644|6440
row-0645|6450
row-0646|6460
row-0647|6470
row-0648|6480
row-0649|6490
row-0650|6500
row-0651|6510
row-0652|6520
row-0653|6530
row-0654|6540
row-0655|6550
row-0656|6560
row-0657|6570
row-0658|6580
row-0659|6590
row-0660|6600
row-0661|6610
row-0662|6620
row-0663|6630
row-0664|6640
row-0665|6650
row-0666|6660
row-0667|6670
row-0668|6680
row-0669|6690
row-0670|6700
row-0671|6710
row-0672|6720
row-0673|6730
row-0674|6740
row-0675|6750
row-0676|6760
row-0677|6770
row-0678|6780
row-0679|6790
row-0680|6800
row-0681|6810
row-0682|6820
row-0683|6830
row-0684|6840
row-0685|6850
row-0686|6860
row-0687|6870
row-0688|6880
row-0689|6890
row-0690|6900
row-0691|6910
row-0692|6920
row-0693|6930
row-0694|6940
row-0695|6950
row-0696|6960
row-0697|6970
row-0698|6980
row-0699|6990
row-0700|7000
row-0701|7010
row-0702|7020
row-0703|7030
row-0704|7040
row-0705|7050
row-0706|7060
row-0707|7070
row-0708|7080
row-0709|7090
row-0710|7100
row-0711|7110
row-0712|7120
row-0713|7130
row-0714|7140
row-0715|7150
row-0716|7160
row-0717|7170
row-0718|7180
row-0719|7190
row-0720|7200
row-0721|7210
row-0722|7220
row-0723|7230
row-0724|7240
row-0725|7250
row-0726|7260
row-0727|7270
row-0728|7280
row-0729|7290
row-0730|7300
row-0731|7310
row-0732|7320
row-0733|7330
row-0734|7340
row-0735|7350
row-0736|7360
row-0737|7370
row-0738|7380
row-0739|7390
row-0740|7400
row-0741|7410
row-0742|7420
row-0743|7430
row-0744|7440
row-0745|7450
row-0746|7460
row-0747|7470
row-0748|7480
row-0749|7490
row-0750|7500
row-0751|7510
row-0752|7520
row-0753|7530
row-0754|7540
row-0755|7550
row-0756|7560
row-0757|7570
row-0758|7580
row-0759|7590
row-0760|7600
row-0761|7610
row-0762|7620
row-0763|7630
row-0764|7640
row-0765|7650
row-0766|7660
row-0767|7670
row-0768|7680
row-0769|7690
row-0770|7700
row-0771|7710
row-0772|7720
row-0773|7730
row-0774|7740
row-0775|7750
row-0776|7760
row-0777|7770
row-0778|7780
row-0779|7790
row-0780|7800
row-0781|7810
row-0782|7820
row-0783|7830
row-0784|7840
row-0785|7850
row-0786|7860
row-0787|7870
row-0788|7880
row-0789|7890
row-0790|7900
row-0791|7910
row-0792|7920
row-0793|7930
row-0794|7940
row-0795|7950
row-0796|7960
row-0797|7970
row-0798|7980
row-0799|7990
row-0800|8000
row-0801|8010
row-0802|8020
row-0803|8030
row-0804|8040
row-0805|8050
row-0806|8060
row-0807|8070
row-0808|8080
row-0809|8090
row-0810|8100
row-0811|8110
row-0812|8120
row-0813|8130
row-0814|8140
row-0815|8150
row-0816|8160
row-0817|8170
row-0818|8180
row-0819|8190
row-0820|8200
row-0821|8210
row-0822|8220
row-0823|8230
row-0824|8240
row-0825|8250
row-0826|8260
row-0827|8270
row-0828|8280
row-0829|8290
row-0830|8300
row-0831|8310
row-0832|8320
row-0833|8330
row-0834|8340
row-0835|8350
row-0836|8360
row-0837|8370
row-0838|8380
row-0839|8390
row-0840|8400
row-0841|8410
row-0842|8420
row-0843|8430
row-0844|8440
row-0845|8450
row-0846|8460
row-0847|8470
row-0848|8480
row-0849|8490
row-0850|8500
row-0851|8510
row-0852|8520
row-0853|8530
row-0854|8540
row-0855|8550
row-0856|8560
row-0857|8570
row-0858|8580
row-0859|8590
row-0860|8600
row-0861|8610
row-0862|8620
row-0863|8630
row-0864|8640
row-0865|8650
row-0866|8660
row-0867|8670
row-0868|8680
row-0869|8690
row-0870|8700
row-0871|8710
row-0872|8720
row-0873|8730
row-0874|8740
row-0875|8750
row-0876|8760
row-0877|8770
row-0878|8780
row-0879|8790
row-0880|8800
row-0881|8810
row-0882|8820
row-0883|8830
row-0884|8840
row-0885|8850
row-0886|8860
row-0887|8870
row-0888|8880
row-0889|8890
row-0890|8900
row-0891|8910
row-0892|8920
row-0893|8930
row-0894|8940
row-0895|8950
row-0896|8960
row-0897|8970
row-0898|8980
row-0899|8990
row-0900|9000
row-0901|9010
row-0902|9020
row-0903|9030
row-0904|9040
row-0905|9050
row-0906|9060
row-0907|9070
row-0908|9080
row-0909|9090
row-0910|9100
row-0911|9110
row-0912|9120
row-0913|9130
row-0914|9140
row-0915|9150
row-0916|9160
row-0917|9170
row-0918|9180
row-0919|9190
row-0920|9200
row-0921|9210
row-0922|9220
row-0923|9230
row-0924|9240
row-0925|9250
row-0926|9260
row-0927|9270
row-0928|9280
row-0929|9290
row-0930|9300
row-0931|9310
row-0932|9320
row-0933|9330
row-0934|9340
row-0935|9350
row-0936|9360
row-0937|9370
row-0938|9380
row-0939|9390
row-0940|9400
row-0941|9410
row-0942|9420
row-0943|9430
row-0944|9440
row-0945|9450
row-0946|9460
row-0947|9470
row-0948|9480
row-0949|9490
row-0950|9500
row-0951|9510
row-0952|9520
row-0953|9530
row-0954|9540
row-0955|9550
row-0956|9560
row-0957|9570
row-0958|9580
row-0959|9590
row-0960|9600
row-0961|9610
row-0962|9620
row-0963|9630
row-0964|9640
row-0965|9650
row-0966|9660
row-0967|9670
row-0968|9680
row-0969|9690
row-0970|9700
row-0971|9710
row-0972|9720
row-0973|9730
row-0974|9740
row-0975|9750
row-0976|9760
row-0977|9770
row-0978|9780
row-0979|9790
row-0980|9800
row-0981|9810
row-0982|9820
row-0983|9830
row-0984|9840
row-0985|9850
row-0986|9860
row-0987|9870
row-0988|9880
row-0989|9890
row-0990|9900
row-0991|9910
row-0992|9920
row-0993|9930
row-0994|9940
row-0995|9950
row-0996|9960
row-0997|9970
row-0998|9980
row-0999|9990
row-1000|10000
